iter	Passed	Remaining
0	21	21352
1	40	20122
2	54	17961
3	76	19006
4	99	19718
5	119	19822
6	140	19889
7	159	19834
8	178	19672
9	198	19649
10	218	19650
11	238	19656
12	259	19701
13	277	19535
14	296	19461
15	315	19375
16	333	19281
17	351	19186
18	373	19265
19	395	19382
20	417	19469
21	436	19417
22	454	19323
23	474	19296
24	498	19440
25	519	19448
26	539	19459
27	559	19422
28	580	19442
29	598	19352
30	614	19217
31	631	19111
32	647	18959
33	661	18799
34	676	18642
35	693	18567
36	708	18438
37	724	18336
38	738	18203
39	753	18075
40	769	17995
41	784	17884
42	799	17785
43	813	17677
44	827	17568
45	842	17475
46	857	17384
47	870	17274
48	883	17155
49	900	17100
50	915	17042
51	929	16950
52	943	16858
53	957	16771
54	971	16691
55	985	16620
56	1000	16557
57	1015	16490
58	1029	16413
59	1045	16386
60	1060	16320
61	1074	16260
62	1088	16191
63	1102	16117
64	1116	16059
65	1130	15994
66	1145	15951
67	1160	15903
68	1176	15869
69	1190	15819
70	1205	15777
71	1221	15739
72	1235	15685
73	1249	15634
74	1264	15591
75	1280	15569
76	1295	15525
77	1310	15494
78	1326	15467
79	1342	15443
80	1357	15403
81	1372	15364
82	1388	15336
83	1403	15299
84	1418	15274
85	1433	15233
86	1447	15188
87	1461	15142
88	1475	15105
89	1489	15063
90	1503	15019
91	1518	14989
92	1533	14956
93	1547	14918
94	1561	14871
95	1576	14844
96	1590	14806
97	1604	14763
98	1618	14732
99	1632	14691
100	1648	14677
101	1662	14634
102	1675	14591
103	1689	14557
104	1704	14527
105	1718	14492
106	1732	14459
107	1746	14421
108	1760	14393
109	1774	14360
110	1788	14323
111	1801	14284
112	1814	14244
113	1828	14210
114	1840	14166
115	1854	14131
116	1868	14099
117	1882	14068
118	1896	14040
119	1909	14002
120	1922	13968
121	1935	13932
122	1949	13898
123	1963	13867
124	1977	13843
125	1990	13810
126	2003	13773
127	2017	13744
128	2031	13716
129	2044	13683
130	2057	13648
131	2069	13610
132	2083	13579
133	2096	13549
134	2109	13516
135	2122	13484
136	2135	13453
137	2149	13424
138	2161	13390
139	2175	13363
140	2188	13333
141	2202	13306
142	2215	13280
143	2229	13255
144	2242	13224
145	2255	13191
146	2267	13158
147	2280	13127
148	2293	13098
149	2305	13067
150	2319	13040
151	2331	13009
152	2344	12980
153	2357	12953
154	2371	12928
155	2384	12902
156	2398	12878
157	2412	12856
158	2425	12831
159	2439	12807
160	2453	12784
161	2466	12759
162	2480	12736
163	2493	12712
164	2507	12691
165	2522	12675
166	2537	12655
167	2550	12630
168	2563	12604
169	2576	12578
170	2589	12555
171	2603	12534
172	2616	12509
173	2630	12486
174	2643	12462
175	2657	12442
176	2671	12420
177	2684	12399
178	2699	12379
179	2712	12357
180	2726	12334
181	2739	12314
182	2754	12295
183	2768	12276
184	2782	12256
185	2797	12241
186	2812	12225
187	2825	12203
188	2838	12178
189	2852	12162
190	2867	12144
191	2880	12123
192	2894	12101
193	2908	12082
194	2922	12065
195	2937	12047
196	2950	12028
197	2964	12007
198	2977	11986
199	2991	11964
200	3004	11942
201	3018	11922
202	3032	11905
203	3045	11881
204	3058	11859
205	3070	11835
206	3084	11817
207	3099	11800
208	3112	11778
209	3125	11756
210	3138	11736
211	3152	11717
212	3165	11694
213	3177	11670
214	3191	11653
215	3204	11632
216	3218	11613
217	3231	11592
218	3245	11572
219	3259	11555
220	3271	11532
221	3284	11511
222	3297	11490
223	3311	11473
224	3324	11450
225	3337	11430
226	3350	11408
227	3364	11391
228	3377	11370
229	3389	11348
230	3402	11326
231	3416	11310
232	3430	11293
233	3443	11272
234	3455	11249
235	3468	11230
236	3482	11211
237	3496	11193
238	3509	11174
239	3523	11157
240	3537	11140
241	3550	11120
242	3563	11099
243	3576	11080
244	3589	11062
245	3602	11041
246	3615	11023
247	3631	11010
248	3644	10993
249	3658	10975
250	3672	10957
251	3684	10937
252	3697	10916
253	3710	10897
254	3722	10876
255	3735	10855
256	3748	10838
257	3763	10823
258	3776	10804
259	3789	10785
260	3802	10767
261	3816	10750
262	3829	10730
