sbytes,dbytes,rate,sttl,sload,dload,ct_state_ttl,ct_dst_src_ltm,ct_srv_dst,attack_cat,label
258,172,74.08749,252,14158.94238,8495.365234,0,1,1,Normal,0
564,354,17.064487,254,4079.416016,2489.407471,1,3,3,Normal,0
168,0,40000.00101,254,26880000.0,0.0,2,2,5,Normal,0
168,0,66666.66835,254,44800000.0,0.0,2,3,3,Normal,0
1016,268,42.30679,254,20645.71289,5054.250977,1,2,5,Normal,0
168,0,125000.0003,254,84000000.0,0.0,2,1,2,Normal,0
564,354,24.124973,254,5767.287598,3519.407959,1,1,2,Normal,0
168,0,100000.0025,254,67200000.0,0.0,2,2,3,Normal,0
168,0,41666.66519,254,28000000.0,0.0,2,1,1,Normal,0
168,0,90909.0902,254,61090908.0,0.0,2,2,5,Normal,0
564,354,25.004743,254,5977.604492,3647.750732,1,1,2,Normal,0
564,354,24.029356,254,5744.429688,3505.458984,1,3,3,Normal,0
168,0,45454.5451,63,30545454.0,0.0,0,1,1,Normal,0
564,354,23.136492,254,5530.982422,3375.205811,1,2,3,Normal,0
520,304,26.202705,31,11678.91992,6827.67627,0,1,12,Normal,0
132,164,37.794322,31,6651.800781,8264.358398,0,2,3,Normal,0
1540,1644,21.570122,31,7550.850098,8120.824219,0,2,1,Normal,0
1540,1644,35.139467,31,12300.94336,13229.47656,0,4,8,Normal,0
1540,1644,21.953342,31,7685.0,8265.100586,0,2,10,Normal,0
1540,1644,35.130974,31,12297.96973,13226.2793,0,4,8,Normal,0
130,162,154.742874,31,26822.09766,33424.46094,0,1,1,Normal,0
1540,1644,25.60746,31,8964.163086,9640.820312,0,3,4,Normal,0
528,304,26.607068,31,12041.59863,6933.041504,0,3,4,Normal,0
1540,1644,32.147229,31,11253.47852,12102.94434,0,2,10,Normal,0
1540,1644,36.288421,31,12703.14648,13662.04102,0,4,8,Normal,0
1540,1644,35.421028,31,12399.50684,13335.48047,0,4,8,Normal,0
1540,1644,40.785354,31,14277.3457,15355.06738,0,3,4,Normal,0
1540,1644,25.034896,31,8763.730469,9425.258789,0,3,4,Normal,0
132,164,24.920462,31,4386.001465,5449.274414,0,1,1,Normal,0
1540,1644,28.302688,31,9907.65625,10655.5332,0,1,2,Normal,0
1540,1644,24.710049,31,8650.014648,9302.958984,0,3,11,Normal,0
1540,1644,42.44706,31,14859.04395,15980.67481,0,2,5,Normal,0
1540,1644,23.223604,31,8129.668945,8743.334961,0,7,18,Normal,0
1540,1644,40.583368,31,14206.63867,15279.02344,0,8,8,Normal,0
1540,1644,53.887141,31,18863.76563,20287.69141,0,1,8,Normal,0
1540,1644,25.69341,31,8994.250977,9673.179688,0,6,14,Normal,0
1540,1644,41.999587,31,14702.40039,15812.20801,0,1,5,Normal,0
1540,1644,24.545099,31,8592.272461,9240.857422,0,6,14,Normal,0
1540,1644,28.969274,31,10141.00195,10906.49219,0,6,14,Normal,0
1540,1644,44.627222,31,15622.23242,16801.47266,0,2,5,Normal,0
1540,1644,34.440366,31,12056.21484,12966.27539,0,3,9,Normal,0
1540,1644,36.413633,31,12746.97852,13709.18066,0,8,8,Normal,0
1540,1644,30.752113,31,10765.10352,11577.70508,0,2,8,Normal,0
1540,1644,20.020032,31,7008.224609,7537.23877,0,5,11,Normal,0
528,304,15.312294,31,6929.906738,3989.946289,0,3,10,Normal,0
1540,1644,25.190877,31,8818.333984,9483.983398,0,2,9,Normal,0
1540,1644,20.90962,31,7319.634277,7872.154785,0,2,10,Normal,0
1540,1644,28.106083,31,9838.832031,10581.51465,0,1,6,Normal,0
1540,1644,23.186694,31,8116.748047,8729.439453,0,3,7,Normal,0
528,304,29.647701,31,13417.70215,7725.34375,0,2,6,Normal,0
1540,1644,22.028019,31,7711.141602,8293.214844,0,2,7,Normal,0
528,304,81.220629,31,36758.13672,21163.77539,0,2,10,Normal,0
1272,2572,21.17028,31,6122.70166,12471.21973,0,3,12,Normal,0
1540,1644,61.220742,31,21430.9707,23048.68164,0,1,8,Normal,0
1540,1644,56.50482,31,19780.11133,21273.20898,0,1,8,Normal,0
1540,1644,65.433087,31,22905.54688,24634.56641,0,3,3,Normal,0
1540,1644,66.977199,31,23446.07813,25215.90039,0,3,3,Normal,0
528,304,29.404229,31,13307.51367,7661.901855,0,2,14,Normal,0
568,304,136.809596,31,66606.72656,35648.67188,0,3,5,Normal,0
168,0,111111.1072,63,74666664.0,0.0,0,1,1,Normal,0
520,304,194.228632,31,86570.47656,50610.43359,0,4,14,Normal,0
520,304,193.626901,31,86302.27344,50453.63672,0,4,5,Normal,0
568,304,32.538163,31,15841.4375,8478.515625,0,4,14,Normal,0
568,304,56.832944,31,27669.52539,14809.04102,0,4,5,Normal,0
520,304,193.691208,31,86330.9375,50470.39453,0,4,6,Normal,0
568,304,81.231942,31,39548.35156,21166.72266,0,4,6,Normal,0
568,304,56.361617,31,27440.05664,14686.22754,0,3,14,Normal,0
520,304,194.15861,31,86539.26563,50592.1875,0,4,9,Normal,0
1540,1644,122.561763,31,42904.04688,46142.64844,0,6,6,Normal,0
1540,1644,104.159103,31,36462.0,39214.32422,0,6,6,Normal,0
1540,1644,106.30998,31,37214.9375,40024.09766,0,6,6,Normal,0
1540,1644,105.509179,31,36934.60547,39722.60547,0,7,10,Normal,0
1540,1644,101.279805,31,35454.07031,38130.3125,0,7,10,Normal,0
1540,1644,138.195005,31,48376.62891,52028.32422,0,4,9,Normal,0
1540,1644,102.883226,31,36015.36328,38733.97656,0,6,6,Normal,0
1540,1644,107.220139,31,37533.54688,40366.75781,0,4,9,Normal,0
1540,1644,106.894363,31,37419.50391,40244.10938,0,6,6,Normal,0
1540,1644,103.859477,31,36357.11328,39101.51953,0,7,10,Normal,0
1540,1644,104.779531,31,36679.1875,39447.90625,0,4,9,Normal,0
1540,1644,120.477535,31,42174.4375,45357.96484,0,7,10,Normal,0
1540,1644,105.171241,31,36816.30859,39595.37891,0,7,10,Normal,0
1540,1644,37.156974,31,13007.19238,13989.03809,0,7,7,Normal,0
1540,1644,36.75103,31,12865.08789,13836.20606,0,7,7,Normal,0
1540,1644,35.87721,31,12559.19727,13507.22559,0,7,7,Normal,0
1540,1644,39.444525,31,13807.97461,14850.26563,0,7,7,Normal,0
1540,1644,48.31434,31,16912.94727,18189.61719,0,7,7,Normal,0
1540,1644,44.845182,31,15698.53125,16883.53125,0,2,8,Normal,0
1540,1644,40.900251,31,14317.56641,15398.3252,0,7,6,Normal,0
1540,1644,90.085168,31,31535.26758,33915.69922,0,8,16,Normal,0
1540,1644,39.289128,31,13753.57617,14791.76172,0,7,6,Normal,0
1540,1644,92.350577,31,32328.29883,34768.59375,0,8,16,Normal,0
1540,1644,90.922115,31,31828.25,34230.80078,0,8,16,Normal,0
1540,1644,40.810168,31,14286.03223,15364.41016,0,7,6,Normal,0
1540,1644,40.810168,31,14286.03223,15364.41016,0,7,6,Normal,0
1540,1644,99.166699,31,34714.35547,37334.75781,0,3,4,Normal,0
1540,1644,108.97059,31,38146.3125,41025.77734,0,8,16,Normal,0
1540,1644,95.963983,31,33593.21094,36128.98438,0,8,16,Normal,0
1540,1644,39.151666,31,13705.45606,14740.00879,0,7,6,Normal,0
1540,1644,100.042143,31,35020.8125,37664.35156,0,3,4,Normal,0
1272,2572,28.330045,31,8193.392578,16688.97266,0,3,12,Normal,0
520,304,198.869278,31,88638.875,51819.65234,0,4,16,Normal,0
528,304,25.63605,31,11602.14356,6680.021973,0,2,4,Normal,0
568,312,21.524685,31,10479.44629,5756.315918,0,2,4,Normal,0
1540,1644,111.977899,31,39199.05078,42157.98438,0,9,9,Normal,0
528,304,59.211139,31,26797.26953,15428.73145,0,6,12,Normal,0
1540,1644,104.56704,31,36604.80078,39367.90625,0,9,9,Normal,0
1540,1644,140.041759,31,49023.10156,52723.60156,0,9,9,Normal,0
1272,2572,71.352739,31,20636.07617,42033.25,0,2,12,Normal,0
1540,1644,104.690452,31,36648.00391,39414.36719,0,9,9,Normal,0
568,312,123.996952,31,60368.80078,33160.32813,0,5,12,Normal,0
568,312,21.387238,31,10412.5293,5719.558594,0,6,12,Normal,0
1272,2572,46.145458,31,13345.82617,27183.86914,0,1,4,Normal,0
1272,2572,87.823417,31,25399.5957,51735.97656,0,2,5,Normal,0
568,304,22.280222,31,10847.28516,5805.589355,0,2,4,Normal,0
520,304,72.177598,31,32170.58594,18807.41992,0,2,4,Normal,0
1540,1644,105.169224,31,36815.60156,39594.62109,0,9,9,Normal,0
528,304,26.807804,31,12132.44629,6985.347656,0,2,3,Normal,0
528,304,95.757925,31,43337.30078,24951.7793,0,5,7,Normal,0
1540,1644,113.951068,31,39889.78125,42900.85156,0,4,16,Normal,0
568,304,80.333269,31,39110.82422,20932.55469,0,4,16,Normal,0
568,312,17.09978,31,8325.150391,4572.969727,0,2,9,Normal,0
